Employee ID,Contract ID,Gender,Full name,Category,Position,Level,Workload,Start Date,End Date
E0037,C0037,Male,Carl Alvarez,3341 - Office supervisors,Office Manager,Lead,1.0,2022-05-10,
E0038,C0038,Female,Kelsey Obrien,2512 - Software developers,Machine Learning Engineer,Mid,0.5,2016-08-09,2024-01-26
E0039,C0039,Male,Nicholas Harris,2512 - Software developers,Junior Software Developer,Junior,0.75,2018-04-21,2024-06-03
E0040,C0040,Male,Mr. Jeffrey Holmes Jr.,2423 - Personnel and careers professionals,HR Specialist,Mid,1.0,2016-10-28,2024-01-25
E0041,C0041,Male,Kevin Hall,2512 - Software developers,Senior Software Developer,Senior,0.25,2016-09-30,2016-09-29
E0041,C0041U,Male,Kevin Hall,2519 - Software and applications developers and analysts not elsewhere classified,QA Automation Engineer,Mid,0.25,2016-09-30,2024-09-16
E0042,C0042,Female,Michelle Brown,2421 - Management and organization analysts,Project Manager (IT),Lead,1.0,2014-02-23,2014-02-22
E0042,C0042U,Female,Michelle Brown,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-02-23,
E0043,C0043,Male,Scott Jones,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-01-18,2024-08-01
E0044,C0044,Female,Karina Ryan,3341 - Office supervisors,Office Manager,Lead,1.0,2022-09-19,2024-11-10
E0045,C0045,Male,David Kennedy,2512 - Software developers,Senior Software Developer,Senior,1.0,2019-12-05,
E0046,C0046,Male,Brent Jordan,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-03-17,
E0047,C0047,Female,Sharon Brown,2512 - Software developers,Junior Software Developer,Junior,1.0,2024-02-13,
E0048,C0048,Female,Annette Powell MD,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-11-10,
E0049,C0049,Male,Connor West,2421 - Management and organization analysts,Product Manager,Lead,1.0,2020-03-06,
E0050,C0050,Female,Julie Baxter,2529 - Database and network professionals not elsewhere classified,Data Engineer,Mid,1.0,2014-04-14,
E0051,C0051,Female,Shannon Pierce,2523 - Computer network professionals,Network Engineer,Mid,1.0,2013-11-11,
E0052,C0052,Male,Joshua Smith,2423 - Personnel and careers professionals,HR Specialist,Mid,0.5,2014-08-03,
E0053,C0053,Male,Samuel Martin,2512 - Software developers,Junior Software Developer,Junior,1.0,2021-04-06,
E0054,C0054,Female,Sharon Barrera,2512 - Software developers,Machine Learning Engineer,Mid,0.75,2015-10-21,2024-05-27
E0055,C0055,Male,James House,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-09-28,2024-09-04
E0056,C0056,Male,Michael Cross,2421 - Management and organization analysts,Scrum Master,Mid,1.0,2022-06-16,
E0057,C0057,Female,Katelyn Lee,2421 - Management and organization analysts,Product Manager,Lead,1.0,2016-09-14,2024-01-23
E0058,C0058,Male,Joshua Adkins,3341 - Office supervisors,Office Manager,Lead,1.0,2013-12-22,
E0059,C0059,Male,John Calhoun,2421 - Management and organization analysts,Product Manager,Lead,0.5,2022-01-14,
E0060,C0060,Male,Tyler Miller,2512 - Software developers,Junior Software Developer,Junior,1.0,2016-02-29,
E0061,C0061,Female,Andrea Hensley,2512 - Software developers,Junior Software Developer,Junior,0.75,2019-11-14,
E0062,C0062,Male,Steve Sanchez,1330 - Information and communications technology service managers,Director of IT,Mid,1.0,2023-02-12,
E0063,C0063,Female,Angela Sandoval,2529 - Database and network professionals not elsewhere classified,IT Security Specialist,Mid,1.0,2022-08-14,
E0064,C0064,Male,Timothy Harris,2529 - Database and network professionals not elsewhere classified,Information Security Analyst,Mid,1.0,2018-05-07,2024-04-02
E0065,C0065,Female,Bonnie Brewer,2522 - Systems administrators,System Administrator,Mid,1.0,2020-10-12,
E0066,C0066,Female,Nicole Jones,1120 - Managing directors and chief executives,CIO,Mid,0.75,2020-10-18,
E0067,C0067,Female,Kristine Garcia,2512 - Software developers,Full-Stack Developer,Mid,0.75,2022-02-23,
E0068,C0068,Female,Deborah Mahoney,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-03-04,
E0069,C0069,Female,Jaclyn Moore,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-03-30,
E0070,C0070,Female,Lisa Archer,"1321 - Manufacturing, mining, construction, and distribution managers",Director of Engineering,Mid,1.0,2024-02-16,
E0071,C0071,Male,Michael Spencer,2512 - Software developers,Junior Software Developer,Junior,0.75,2015-04-15,2024-02-10
E0072,C0072,Female,Stacy Newton,2512 - Software developers,Senior Software Developer,Senior,1.0,2015-08-24,
E0073,C0073,Female,Lisa Robbins,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-06-19,
E0074,C0074,Female,Sarah Wagner,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-04-10,
E0075,C0075,Male,Ryan Davis,2512 - Software developers,Senior Software Developer,Senior,1.0,2020-03-17,
E0076,C0076,Female,Amanda Cook,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-03-24,
E0077,C0077,Male,Dennis Figueroa,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-05-22,
E0078,C0078,Female,Kristina Rodriguez,2512 - Software developers,Senior Software Developer,Senior,1.0,2024-10-03,
E0079,C0079,Male,Joshua Davenport,2529 - Database and network professionals not elsewhere classified,Cloud Engineer,Mid,1.0,2022-11-29,2024-04-22
E0080,C0080,Female,Jessica Williams,1120 - Managing directors and chief executives,CIO,Mid,1.0,2019-03-16,
E0081,C0081,Female,Rebecca Valencia,2421 - Management and organization analysts,Project Manager (IT),Lead,0.5,2019-02-02,2024-03-22
E0082,C0082,Male,Michael Gomez,2421 - Management and organization analysts,Product Manager,Lead,1.0,2022-07-11,2024-12-09
E0083,C0083,Female,Valerie Brady,1120 - Managing directors and chief executives,CTO,Mid,0.75,2017-01-11,
E0084,C0084,Male,William Cochran,1120 - Managing directors and chief executives,CTO,Mid,0.75,2020-01-06,2024-01-10
E0085,C0085,Female,Tammy Patton,1120 - Managing directors and chief executives,CTO,Mid,1.0,2020-01-03,
E0086,C0086,Female,Sharon Cochran,2512 - Software developers,Front-End Developer,Mid,1.0,2017-07-16,
E0087,C0087,Male,Michael Reyes,2421 - Management and organization analysts,Project Manager (IT),Lead,1.0,2013-08-29,
E0088,C0088,Female,Courtney Velasquez,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-10-31,
E0089,C0089,Male,Robert Savage,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-10-17,
E0090,C0090,Female,Cheryl Murphy,2512 - Software developers,Junior Software Developer,Junior,0.5,2014-03-08,
E0091,C0091,Male,Mr. Martin Ross,1211 - Finance managers,Finance Manager,Lead,1.0,2022-02-14,2024-05-08
E0092,C0092,Female,Ashley Waller,2523 - Computer network professionals,Network Engineer,Mid,1.0,2016-01-15,
E0093,C0093,Male,William Johnson,2512 - Software developers,Senior Software Developer,Senior,1.0,2023-02-24,
E0094,C0094,Female,Monica Edwards,2512 - Software developers,Junior Software Developer,Junior,1.0,2023-04-25,2024-07-17
E0095,C0095,Male,Steven Lee,2512 - Software developers,Junior Software Developer,Junior,0.75,2013-10-03,
E0096,C0096,Male,Aaron Frost,2512 - Software developers,Software Developer,Mid,1.0,2022-02-28,
E0097,C0097,Male,Todd Mclaughlin,1330 - Information and communications technology service managers,Director of IT,Mid,1.0,2016-05-09,
E0098,C0098,Female,Andrea Beck,2642 - Journalists,Technical Writer,Mid,0.5,2018-08-14,
E0099,C0099,Male,Matthew Martinez,1211 - Finance managers,Finance Manager,Lead,1.0,2018-02-10,2018-02-09
E0099,C0099U,Male,Matthew Martinez,1211 - Finance managers,Finance Manager,Lead,1.0,2018-02-10,2024-11-26
E0100,C0100,Male,Michael Nguyen,2512 - Software developers,Senior Software Developer,Senior,1.0,2024-11-11,
E0101,C0101,Female,Bethany Fisher,2421 - Management and organization analysts,Project Manager (IT),Lead,1.0,2019-06-14,
E0102,C0102,Female,Stephanie Gilbert,2512 - Software developers,Back-End Developer,Mid,1.0,2018-02-14,
E0103,C0103,Female,Sandra Torres,2512 - Software developers,Junior Software Developer,Junior,0.75,2016-07-30,
E0104,C0104,Female,Lauren Pena,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-11-29,
E0105,C0105,Male,Michael Dixon,2512 - Software developers,Senior Software Developer,Senior,0.5,2015-11-21,
E0106,C0106,Male,Drew Beck,2512 - Software developers,Senior Software Developer,Senior,1.0,2023-07-15,
E0107,C0107,Female,Sabrina Potter,2512 - Software developers,Junior Software Developer,Junior,1.0,2024-06-12,
E0108,C0108,Female,Renee Hernandez,2512 - Software developers,Junior Software Developer,Junior,1.0,2013-10-15,2024-04-05
E0109,C0109,Male,Logan Mack MD,2512 - Software developers,Senior Software Developer,Senior,1.0,2023-09-19,2024-08-11
E0110,C0110,Female,Melissa Snyder,2529 - Database and network professionals not elsewhere classified,IT Security Specialist,Mid,1.0,2017-02-25,
E0111,C0111,Male,Michael Stafford,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-10-25,
E0112,C0112,Female,Colleen Brock,2512 - Software developers,Senior Software Developer,Senior,0.5,2024-11-03,
E0113,C0113,Male,Anthony Wright,2611 - Lawyers,Legal Counsel,Mid,1.0,2015-01-25,
E0114,C0114,Female,Rebecca Contreras,1330 - Information and communications technology service managers,Director of IT,Mid,1.0,2022-07-06,
E0115,C0115,Female,Tiffany Vance,2512 - Software developers,Junior Software Developer,Junior,1.0,2023-06-04,
E0116,C0116,Male,Steven Simmons,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-04-28,2022-04-27
E0116,C0116U,Male,Steven Simmons,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-04-28,
E0117,C0117,Female,Caitlin Hensley,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-08-28,
E0118,C0118,Female,Danielle Walsh,2512 - Software developers,Back-End Developer,Mid,1.0,2021-11-14,
E0119,C0119,Male,David Gonzales,3341 - Office supervisors,Office Manager,Lead,1.0,2017-11-11,
E0120,C0120,Male,George Orozco,2512 - Software developers,Senior Software Developer,Senior,1.0,2014-05-16,
E0121,C0121,Female,Crystal Benson,3512 - Information and communications technology user support technicians,Help Desk Technician,Mid,1.0,2016-08-22,
E0122,C0122,Male,Jason Daniels,3512 - Information and communications technology user support technicians,IT Support Specialist,Mid,1.0,2020-01-28,2024-01-25
E0123,C0123,Female,Jennifer Stein,2529 - Database and network professionals not elsewhere classified,Data Engineer,Mid,1.0,2022-12-09,
E0124,C0124,Female,Alicia Gilmore,2512 - Software developers,Senior Software Developer,Senior,1.0,2022-10-18,2024-05-27
E0124,C0124U,Female,Alicia Gilmore,1120 - Managing directors and chief executives,CTO,Mid,1.0,2024-05-28,2024-05-27
E0125,C0125,Female,Terri Evans,2522 - Systems administrators,System Administrator,Mid,1.0,2019-08-21,2019-08-20
E0125,C0125U,Female,Terri Evans,2166 - Graphic and multimedia designers,UI Designer,Mid,1.0,2019-08-21,
E0126,C0126,Male,Troy Barnes,1211 - Finance managers,Finance Manager,Lead,1.0,2022-04-17,
E0127,C0127,Female,Stephanie Freeman,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-08-23,2024-05-14
E0128,C0128,Female,Alyssa Rogers,2512 - Software developers,Junior Software Developer,Junior,1.0,2024-07-22,
E0129,C0129,Male,Nathaniel Pittman,2529 - Database and network professionals not elsewhere classified,Information Security Analyst,Mid,1.0,2015-03-05,
E0130,C0130,Male,Joseph Meadows MD,2421 - Management and organization analysts,Scrum Master,Mid,1.0,2024-04-12,2024-04-11
E0130,C0130U,Male,Joseph Meadows MD,2421 - Management and organization analysts,Scrum Master,Mid,1.0,2024-04-12,
E0131,C0131,Female,Maria Taylor,2642 - Journalists,Technical Writer,Mid,1.0,2020-11-08,
E0132,C0132,Female,Debbie Murphy,2512 - Software developers,Machine Learning Engineer,Mid,0.75,2020-09-26,
E0133,C0133,Male,Philip Gray,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-03-04,2024-04-07
E0134,C0134,Male,John Curry,2421 - Management and organization analysts,Business Analyst,Mid,1.0,2013-11-20,
E0135,C0135,Female,Mrs. Marie Harrington DDS,"1321 - Manufacturing, mining, construction, and distribution managers",Director of Engineering,Mid,1.0,2013-07-12,
E0136,C0136,Female,Christina Smith,2512 - Software developers,Senior Software Developer,Senior,1.0,2015-08-05,
E0137,C0137,Female,Kara Wilson,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-09-16,2016-09-15
E0137,C0137U,Female,Kara Wilson,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-09-16,
E0138,C0138,Male,David Wood,2166 - Graphic and multimedia designers,UX Designer,Mid,1.0,2023-04-23,2024-07-29
E0139,C0139,Male,Paul Wilson,2512 - Software developers,Machine Learning Engineer,Mid,0.75,2015-10-15,
E0140,C0140,Female,Mrs. Allison Collins,2512 - Software developers,Senior Software Developer,Senior,1.0,2024-07-10,
E0141,C0141,Female,Jaime David,2421 - Management and organization analysts,Product Manager,Lead,1.0,2016-05-17,
E0142,C0142,Female,Melissa Burton,2512 - Software developers,Front-End Developer,Mid,1.0,2014-09-26,
E0143,C0143,Female,Elizabeth Sutton,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-01-23,
E0144,C0144,Female,Kylie Williams,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-01-24,
E0145,C0145,Female,Jacqueline Hunter,2512 - Software developers,Junior Software Developer,Junior,1.0,2018-10-22,
E0146,C0146,Female,Jennifer Henry,2512 - Software developers,Machine Learning Engineer,Mid,1.0,2020-05-17,2024-05-20
E0147,C0147,Male,Ronald Zimmerman,3512 - Information and communications technology user support technicians,Help Desk Technician,Mid,1.0,2020-05-30,
E0148,C0148,Male,Joseph Santos,2423 - Personnel and careers professionals,Recruiter,Mid,0.75,2023-06-25,
E0149,C0149,Male,Joshua Webb,2421 - Management and organization analysts,Data Analyst,Mid,1.0,2020-05-30,
E0150,C0150,Female,Leslie Morris,2512 - Software developers,Junior Software Developer,Junior,1.0,2017-03-06,
E0151,C0151,Male,Brandon Keith,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-02-24,
E0152,C0152,Female,Laura Barnett,2512 - Software developers,Senior Software Developer,Senior,0.5,2018-09-22,2024-05-04
E0153,C0153,Female,Sarah White,2421 - Management and organization analysts,Product Manager,Lead,1.0,2016-08-11,
E0154,C0154,Female,Deanna Ramirez,2512 - Software developers,Junior Software Developer,Junior,0.25,2023-02-22,2023-02-21
E0154,C0154U,Female,Deanna Ramirez,2512 - Software developers,Junior Software Developer,Junior,0.25,2023-02-22,
E0155,C0155,Female,Desiree Smith,2529 - Database and network professionals not elsewhere classified,Information Security Analyst,Mid,1.0,2016-04-02,
E0156,C0156,Female,Michelle Freeman,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-02-02,
E0157,C0157,Female,Maria Henry,2521 - Database designers and administrators,Database Administrator,Mid,1.0,2013-04-18,
E0158,C0158,Male,Daniel Holt,2522 - Systems administrators,DevOps Engineer,Mid,1.0,2018-03-18,
E0159,C0159,Female,Jackie Tran,2512 - Software developers,Senior Software Developer,Senior,1.0,2018-11-07,2024-06-14
E0160,C0160,Female,Ms. Heather Chavez MD,2512 - Software developers,Junior Software Developer,Junior,0.5,2016-12-03,
E0161,C0161,Male,Corey Wilson,2512 - Software developers,Junior Software Developer,Junior,0.25,2022-02-12,
E0162,C0162,Female,Melissa Lee,1211 - Finance managers,Finance Manager,Lead,1.0,2021-03-28,
E0163,C0163,Male,Kevin Wolf,2421 - Management and organization analysts,Scrum Master,Mid,1.0,2023-02-26,2024-12-26
E0164,C0164,Male,Brian Lee,2512 - Software developers,Junior Software Developer,Junior,1.0,2016-11-14,
E0165,C0165,Male,Eric Erickson,3341 - Office supervisors,Office Manager,Lead,1.0,2015-02-26,
E0166,C0166,Male,William Tran,2642 - Journalists,Technical Writer,Mid,1.0,2024-11-12,
E0167,C0167,Female,Margaret Mullins,2529 - Database and network professionals not elsewhere classified,Cloud Engineer,Mid,1.0,2014-09-30,2024-12-04
E0168,C0168,Female,Diane Mendoza,2512 - Software developers,Junior Software Developer,Junior,1.0,2018-10-19,
E0169,C0169,Female,Amber Everett,2512 - Software developers,Junior Software Developer,Junior,1.0,2021-02-16,
E0170,C0170,Female,Ana Vasquez,2512 - Software developers,Junior Software Developer,Junior,0.25,2022-10-26,
E0171,C0171,Female,Amy Hernandez,2512 - Software developers,Senior Software Developer,Senior,0.75,2022-07-30,
E0172,C0172,Female,Angela Wright,2512 - Software developers,Back-End Developer,Mid,1.0,2022-06-30,
E0173,C0173,Female,Lisa Gibbs,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-11-03,2024-10-28
E0174,C0174,Male,Jerry Ramos,2512 - Software developers,Junior Software Developer,Junior,1.0,2023-01-05,
E0175,C0175,Male,Eric Oliver DDS,1120 - Managing directors and chief executives,CTO,Mid,1.0,2014-09-09,
E0176,C0176,Female,Christine Clark,2512 - Software developers,Junior Software Developer,Junior,0.5,2024-03-27,
E0177,C0177,Female,Cynthia Arnold,2512 - Software developers,Junior Software Developer,Junior,0.5,2015-08-31,
E0178,C0178,Male,Jerry Wheeler,2512 - Software developers,Senior Software Developer,Senior,0.75,2017-12-15,2024-01-13
E0179,C0179,Female,Michelle Warner,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-09-22,
E0180,C0180,Female,Cynthia Baker,2519 - Software and applications developers and analysts not elsewhere classified,QA Tester,Mid,1.0,2023-08-20,2024-08-17
E0181,C0181,Female,Taylor Coleman,2512 - Software developers,Back-End Developer,Mid,1.0,2022-04-07,
E0182,C0182,Female,Brittany Baker,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-06-03,2015-06-02
E0182,C0182U,Female,Brittany Baker,"2120 - Mathematicians, actuaries and statisticians",Data Scientist,Mid,1.0,2015-06-03,
E0183,C0183,Female,Carol Parker,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-09-07,2024-12-23
E0184,C0184,Female,Becky Barker,2166 - Graphic and multimedia designers,UI Designer,Mid,1.0,2024-11-26,
E0185,C0185,Female,Denise Fernandez,2512 - Software developers,Senior Software Developer,Senior,1.0,2020-06-13,2024-09-28
E0186,C0186,Female,Amanda Reynolds,3341 - Office supervisors,Office Manager,Lead,1.0,2018-06-26,2024-08-22
E0187,C0187,Female,Anna Hayden,2642 - Journalists,Technical Writer,Mid,1.0,2022-10-15,
E0188,C0188,Male,Alex Hubbard,2519 - Software and applications developers and analysts not elsewhere classified,QA Automation Engineer,Mid,1.0,2017-08-02,2024-08-11
E0189,C0189,Female,Nicole Ruiz,2642 - Journalists,Technical Writer,Mid,1.0,2024-02-01,
E0190,C0190,Female,Diana Shea,2512 - Software developers,Senior Software Developer,Senior,1.0,2020-06-01,
E0191,C0191,Male,John Davis,3341 - Office supervisors,Office Manager,Lead,0.25,2018-12-03,
E0192,C0192,Male,Frank Garcia,2512 - Software developers,Back-End Developer,Mid,1.0,2015-09-27,2024-05-08
E0192,C0192U,Male,Frank Garcia,2512 - Software developers,Senior Software Developer,Senior,1.0,2024-05-09,2024-05-08
E0193,C0193,Male,Jon Bates,2512 - Software developers,Senior Software Developer,Senior,1.0,2019-10-25,2024-11-11
E0194,C0194,Male,Andrew Miller,2166 - Graphic and multimedia designers,UX Designer,Mid,1.0,2017-04-18,2024-05-05
E0195,C0195,Male,Raymond Hancock,2512 - Software developers,Junior Software Developer,Junior,1.0,2013-01-08,2024-12-12
E0196,C0196,Female,Kimberly Gutierrez,2512 - Software developers,Senior Software Developer,Senior,1.0,2016-03-11,
E0197,C0197,Female,Lisa Jimenez,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-07-09,
E0198,C0198,Male,Dalton Dunn,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-11-25,2024-06-19
E0199,C0199,Male,John Johnson,2512 - Software developers,Senior Software Developer,Senior,1.0,2023-09-20,
E0200,C0200,Female,Cynthia Moore,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-05-16,2024-10-02
E0201,C0201,Female,Jennifer Walker,"2120 - Mathematicians, actuaries and statisticians",Data Scientist,Mid,1.0,2014-12-07,
E0202,C0202,Female,Autumn Collier,2421 - Management and organization analysts,Product Manager,Lead,1.0,2021-06-24,
E0203,C0203,Male,Edgar Thornton,2512 - Software developers,Senior Software Developer,Senior,1.0,2020-01-26,2024-11-20
E0204,C0204,Female,Kaitlyn Bryant,2512 - Software developers,Senior Software Developer,Senior,1.0,2015-06-18,2015-06-17
E0204,C0204U,Female,Kaitlyn Bryant,2421 - Management and organization analysts,Business Analyst,Mid,1.0,2015-06-18,
E0205,C0205,Female,Tammy Romero,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-04-29,2024-12-01
E0206,C0206,Male,Raymond Dickerson,2512 - Software developers,Senior Software Developer,Senior,0.5,2018-10-13,
E0207,C0207,Female,Katie Hoover,2512 - Software developers,Junior Software Developer,Junior,1.0,2017-10-24,
E0208,C0208,Female,Sara Carpenter,2512 - Software developers,Junior Software Developer,Junior,1.0,2024-03-24,2024-03-23
E0208,C0208U,Female,Sara Carpenter,2512 - Software developers,Junior Software Developer,Junior,1.0,2024-03-24,
E0209,C0209,Male,Charles Ryan,2512 - Software developers,Senior Software Developer,Senior,1.0,2018-11-15,
E0210,C0210,Female,Pamela Bennett,"2120 - Mathematicians, actuaries and statisticians",Data Scientist,Mid,0.5,2018-06-23,2024-12-03
E0211,C0211,Male,Michael Armstrong,2512 - Software developers,Junior Software Developer,Junior,1.0,2016-12-22,
E0212,C0212,Female,Jennifer Flores,2512 - Software developers,Senior Software Developer,Senior,1.0,2021-01-17,
E0213,C0213,Female,Roberta Hughes,2522 - Systems administrators,System Administrator,Mid,1.0,2024-04-17,
E0214,C0214,Female,Marissa Hernandez,2512 - Software developers,Senior Software Developer,Senior,1.0,2013-08-19,
E0215,C0215,Female,Traci Rivera,2421 - Management and organization analysts,Business Analyst,Mid,0.5,2014-09-16,
E0216,C0216,Male,Jeremiah Fox,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-10-10,
E0217,C0217,Female,Brianna Pitts,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-08-18,
E0218,C0218,Female,Rachael Baker,2529 - Database and network professionals not elsewhere classified,IT Security Specialist,Mid,1.0,2023-08-09,
E0219,C0219,Male,Matthew Christian,2529 - Database and network professionals not elsewhere classified,Data Engineer,Mid,1.0,2024-06-22,
E0220,C0220,Male,James Stewart,2611 - Lawyers,Legal Counsel,Mid,1.0,2021-04-21,
E0221,C0221,Female,Amanda Jones,2512 - Software developers,Junior Software Developer,Junior,1.0,2023-09-27,
E0222,C0222,Male,Dustin Perez,2512 - Software developers,Senior Software Developer,Senior,1.0,2014-07-16,2024-06-17
E0223,C0223,Male,Philip Padilla Jr.,2512 - Software developers,Senior Software Developer,Senior,0.75,2015-10-31,2024-09-26
E0224,C0224,Female,Alyssa Nguyen,2522 - Systems administrators,DevOps Engineer,Mid,1.0,2013-12-15,
E0225,C0225,Female,Jade Thomas,2512 - Software developers,Junior Software Developer,Junior,0.5,2022-01-14,2024-06-09
E0226,C0226,Male,Ricky Jackson,2421 - Management and organization analysts,Product Manager,Lead,1.0,2014-05-06,
E0227,C0227,Male,James Vega,2512 - Software developers,Junior Software Developer,Junior,1.0,2021-06-20,
E0228,C0228,Male,Charles Murray,1211 - Finance managers,Finance Manager,Lead,1.0,2017-04-28,
E0229,C0229,Female,Mary Nolan,2512 - Software developers,Junior Software Developer,Junior,1.0,2020-11-30,
E0230,C0230,Male,Michael Moore,2512 - Software developers,Full-Stack Developer,Mid,1.0,2020-07-07,
E0231,C0231,Male,William Evans,2512 - Software developers,Front-End Developer,Mid,1.0,2020-03-21,
